lkadvani.in	lkadvani.di
dilemma	dilema
cross-cultural	lintas-budaya
slack	kendur
vanished	 menghilang,menghilang,lenyap
angri	angri,dengan marah
spot	,yang selalu bersedia,melihat,tempat,bintik,lampu sorot,noda,jerawat
critic	kritis,kritikus,bersifat kritis, kritis,genting
rigurosas	rigurosas
choudhuri	choudhuri
nestled	terletak
havens	havens
massacre	pembantaian
canceled	dibatalkan,membatalkan
baseless	berdasar
mediat	mediat,Menengahi
announcement	 pengumuman,pengumuman,pemberitahuan
imprison	memenjarakan
mobilisation	mobilisasi
windowsil	windowsil
@bjp_	@bjp_
authorities	pemerintah
word	kata,janji,dunia
cajol	dia un
dure	dure
宋強	宋強
taiwanes	taiwanes
pregnant	berbadan dua, mengandung,hamil,mengandung,bunting, hamil
focu	menyetel,fokus,focu
equally	sama-sama,sama rata
purchas	pembelian,purchas
jamaica'	jamaica'
ndong	ndong
station	pos,kantor,stasiun
re-tweets	re-tweet
drowned	tenggelam
grind	menggiling
jaunpur	jaunpur
kicking	,menyepak,sepakan,tendangan,menendang
mundane	biasa
blake	blake
rock-bottom	batu-bawah
feather	bulu
poet	penyair
damour	damour
counter-attacked	kontra-menyerang
volunt	sukarela,volunt
vet	Dokter hewan,dokter hewan
mixed	 campuran,campuran,bermacam-macam
sustain	mempertahankan,mendukung
answered	,balasan,menjawab,jawaban,dijawab
vyacheslav	vyacheslav
outcasts	orang buangan
actionaid'	actionaid'
rfe	rfe
hyperlinks	Hipertaut,pranala,hyperlink
benefiting	kebaikan,,manfaat, keuntungan, manfaat,keuntungan
يا	يا
warring	perang,berperang
currently	saat ini
kilometers	kilo,kilometer, kilometer
unjustifi	unjustifi
judaism	yudaisme
qeybullayeva	qeybullayeva
morel's	morel
israel-palestin	israel-palestin
priced	harga
lebanese	lebanon
latif	latif
paulo'	paulo'
aunqu	aunqu
locat	locat
hopi	berharap,mudah-mudahan,harapan,asa,mengharap,hopi
kb	kb
provides	memberikan, menyediakan,menyediakan
refus	penolakan,refus
exports	ekspor
indipepal	indipepal
dioxide	dioksida
conscience	hati nurani, suara hati,suara hati
apology	maaf,permintaan maaf
ring	,berdering-dering,lingkaran,menelepon,bel, menelepon,cincin
notori	notori
scot	scot
one	se,yang, se,satu
camara	camara
relieve	mengurangi,meringankan
organisation	organisasi
legislators	legislator
franchisees	franchisee
sales	pelayan toko,penjualan, pramuniaga,pramuniaga
chile's	chile
protocols	protokol
integrity	integritas
idealno	idealno
figuring	mencari
anne's	anne
purport	pemaknaan
awkward	menegangkan,risih,tegang, menegangkan, tegang,sukar dijawab,canggung
sinking	tenggelam
chupacabra	chupacabra
avila	avila
forces	,kekerasan,paksaan,gaya,pasukan,tenaga,kekuatan,memaksa
daven	daven
except	kecuali
eyewitness	saksi mata
diversity	keragaman
masse	tukang pijat,masse
consultation	konsultasi
notion	pendapat,pikiran, gagasan,dugaan, pikiran,gagasan, pendapat
breathtaking	hati
epidem	akt,epidemi
autobiograph	autobiografi, otobiografi,autobiograph,otobiografi
gave	memberi
disturbing	mengganggu
susilo	susilo
regul	reguler,biasa, reguler,tetap, tetap,regul
jewry	yahudi
cathol	Katolik,cathol
unequivocally	tegas
core	 bagian tengah,bagian tengah,biji,inti
elsewher	elsewher
reston	reston
orgs	orgs
centers	pusat,tengah, tengah,Pusat
abolishing	hapus, menghapus,menghapuskan,menghapus
diaspora	diaspora
180	Seratus delapan puluh
johannesburg	johannesburg
elementari	elementari
126	Seratus dua puluh enam
armoured	lapis baja
non-stop	terus-menerus, tanpa berhenti,nonstop,tanpa berhenti,non-stop
crops	hasil bumi,panen,tanaman, panen
rajoelina's	rajoelina
السنة	السنة
assi	memberikan, memberikan,Menetapkan,assi
loos	,goyah,longgar,loos
witnessed	saksi,menyaksikan
break-away	break-away
pensions	pensiun
swird	swird
we	kita,kami
colours	memberi warna pada,mewarnai,warna
safely	aman
intelligentsiya	intelligentsiya
candaba	candaba
aborted	dibatalkan,gugur, menggugurkan,membatalkan,gugurkan,batal,menggugurkan
concludes	menutup,menyimpulkan
regard	hal,salam,salam hormat, salam
carsozi	carsozi
transcript	transkrip
hounded	diburu
certif	sertifikat, surat,surat,akte
oncology	onkologi
talented	berbakat
chairman	ketua
transport	angkutan,transportasi,mengangkut,membawa
munit	munit
besieg	besieg
daquella	daquella
youtube'	youtube'
carr	gerbong,carr
garden'	taman'
أتوقع	أتوقع
employees	karyawan,pekerja,pegawai, pegawai, pekerja
sick	mual,muntah,,gila,sakit
earth-human'	bumi manusia'
azerbaijanis	azerbaijan
probars	probars
drizzl	drizzl,gerimis
metropolitan	metropolitan
shanmugan	shanmugan
safeguards	pengamanan
supplies	perbekalan,persediaan, persediaan
clement	clement
perfectli	perfectli
minim	minim,terkecil,minimum
tajrish	tajrish
bogu	bogu
year's	tahun ini
version	Versi,versi
صحبة	صحبة
basically	sebenarnya,pada dasarnya
canich	canich
depicting	menggambarkan
mobilize	menggerakkan,memobilisasi,mengerakkan
steril	steril
eas	,dengan mudah,eas
hemodialysis	hemodialisis
2009	Dua ribu sembilan
racism	rasialisme,rasis,rasisme
bold	berani,tebal,bold
17th	Ketujuh belas
xinfang	xinfang
port	port,pelabuhan
@marvinadi	@marvinadi
landlin	landlin
minutes	menit,notulen rapat
ur	dorongan, dorongan,ur,desakan
looni	looni
upris	upris
politician's	politikus
fear-mongers	takut mongers
limitations	keterbatasan
joining	bergabung,penggabungan
nin'	nin'
@bangkokbil	@bangkokbil
seeker	pencari
landmine	ranjau darat
trudg	trudg
famous	terkenal
mathemat	ilmu pasti,matema, matematika,matematika
68	Enam puluh delapan
fanat	orang yang fanatik,fanat
compos	menggubah,,kompos,Music menggubah,Music
muslima	muslima
hosts	host,induk semang,inang
sebaspac	sebaspac
wordpress	wordpress
enlighten	mencerahkan
asham	asham
unions	uni,serikat, uni, perserikatan,perhimpunan, perhimpunan,perserikatan,gabungan
teleco	teleco
condition	keadaan, kondisi,kondisi,situasi,syarat
diss	diss
arrogant	sombong
ethics	etika
cutting	tatakan,cutting
nicolas	nicolas
sheer	tipis,belaka,semata-mata,tembus pandang
proce	,pros,proses
supermarket	pasar swalayan,supermarket, supermarket
intercept	mencegat
postures	postur
1830	Satu ribu delapan ratus tiga puluh
jinja	jinja
tobia	tobia
franks	frank
rahnavard	rahnavard
protecting	 memproteksi,memproteksi, menjaga,menjaga,melindungi
huffington	huffington
shouting	teriakan,berteriak
severely	parah
disrespect	hormat
venic	venic
beauty	kecantikan, keelokan, keindahan,keelokan,indah,keindahan
sunset	matahari terbenam,sunset
misfortune	kemalangan
yesterday	,kemarin
mariana	mariana
hindering	menghambat,menghalangi,merintangi,menganggu,mencegah
dey	dey
competit	 pertandingan,pertandingan,harga,persaingan,kompetisi
dear	,mahal, sayang,sayang,kekasih
elaborated	diuraikan
الحب	الحب
thirti	thirti,tiga puluh
colony	koloni
tokyo	tokyo
taunt	mengejek
repository	repository
honorably	terhormat
animators	animator
im	,kesan, kesan,citra,gambar,bayang-bayang,im
marathi	marathi
shanmugam'	shanmugam'
suffic	kekurangan,jarak ya
incid	insiden,kejadian,peristiwa, sampe,kebetulan, peristiwa, kejadian
suggested	 mengusulkan,disarankan,menganjurkan,menyarankan,mengusulkan, menyarankan
black-holes	hitam-lubang
anything	,apa-apa,sesuatu,apa saja
integrated	terpadu
yasser	yasser
welcomed	sambutan,boleh saja,menyambut,menerima dengan senang hati
repressions	represi
intimid	intimid
kheir	kheir
crap	omong kosong
baladi	baladi
gospel	ajaran,injil
prohibitive	mahal
dj	dj,penyiar radio
000	000
mobil	karavan, rumah berjalan,rumah berjalan,mobil
remarking	berkomentar
passion	keinginan yang besar,nafsu, nafsu,gairah
skhirat	skhirat
consequences	akibat,konsekuensi
concepts	konsep
...	...
odonnell	odonnell
وضع	وضع
goes	,berangkat,berlalu,berjalan,pergi
chandrashekar	chandrashekar
regulatory	peraturan
relationship	hubungan
pig	babi
stylist	stylist
cnbeta	cnbeta
ricardo	ricardo
41	Empat puluh satu
الغروب	الغروب
lodging	penginapan
edited	diedit
birzeit	birzeit
coordination	koordinasi
el-husseini	el-husseini
inadequate	tidak memadai
recife	recife
deposit	uang tanggungan,deposit, uang tanggungan,deposito,uang panjar,jaminan,setoran
sub-saharan	sub-sahara
individually	secara individual
farmer	 petani,orang tani,petani
chuyendong.vn	chuyendong.vn
wheel	roda
criticise	mencela,mengkritik, mengkritik, mengecam,mengecam
#	#
slapped	menampar
uganda's	uganda
marginal	marjinal
razak	razak
sharmaalso	sharmaalso
event's	acara ini
lavanya	lavanya
integrating	mengintegrasikan
janine	janine
job	pekerjaan,tugas
tell	mengatakan,menerangkan,katakan,menyuruh,memberitahukan,membedakan,menceritakan
spotted	,yang selalu bersedia,melihat,bintik,lampu sorot,noda,jerawat
final	final,yang terakhir,terakhir,akhir, yang terakhir
entirely	sama sekali,seluruhnya
increased	meningkat
liberty	liberty
exactions	pemerasan
articulated	artikulasi
creek	creek
much	,jauh lebih,banyak
appeal	memohon,Banding,banding,permohonan,aju banding,seruan,menarik, seruan
congratulating	ucapan selamat
khanna	khanna
anniversary	hari ulang tahun,ulang tahun
infra	infra,prasarana yang dibutuhkan untuk membantu berjalannya sebuah sistem pada suatu negara atau organisasi,sarana prasarana
grain	butir, butir,biji-bijian,biji,bulir padi
formul	rumus,formul,Rumus
ane	ane
4th	Keempat
uncovered	ditemukan
interviews	wawancara,menginterpiu,mewawancarai,mengadakan wawancara dengan
huwaini	huwaini
religiosity	religiusitas
tenet	prinsip
nasti	jahat,nasti,busuk,keji,sangat tidak menyenangkan
1300	Satu ribu tiga ratus
residence	tempat kediaman,residence
ergo	ergo
toes	jari kaki,jari-jari kaki
rebels	pemberontak
nashe	nashe
cherish	menghargai
mogadishu	mogadishu
mistreat	menganiaya
assures	meyakinkan, menanggung,menanggung,memastikan,menjamin
http://angelcaido666x.blogspot.com	http://angelcaido666x.blogspot.com
different	berbeda,tidak sama, tidak sama
unifi	unifi,menyatuhkan,Menyatukan
powerlessness	ketidakberdayaan
kamenassa	kamenassa
september	bulan September,september
hikes	kenaikan
reconcili	reconcili,mendamaikan
equat	equat
neweurasia	neweurasia
likud	likud
stephane	stephane
82	Delapan puluh dua
attackers	penyerang
reynold	reynold
kiva	kiva
similarli	similarli
rolls-royce	rolls-royce
intrusively	intrusif
helped	bantuan,membantu,menolong,,pertolongan, pertolongan
larn	larn
drcheeho	drcheeho
وانتم	وانتم
pamphlet	pamflet
tantawi	tantawi
recognizes	mengenali,mengakui
sides	,sisi,sebelah,pinggir,pihak,regu
drought	kekeringan
narratives	narasi
retriev	temu kembali,retriev
trail	trail
illegitimate	tidak sah
issuance	penerbitan
soars	menjulang
breathe	bernafas,menghirup,bernapas
yangjia	yangjia
tentacle	tentakel
portrayed	digambarkan
cowork	cowork
fda-approv	fda-roh
mongolia	mongolia
dmitri	dmitri
lighten	meringankan
believed	,percaya
younger	muda,lebih muda
afraid	takut,colloquial,jangan-jangan,rasa  colloquial,kira,takut akan
hound	hound
exot	exot
topic	tulisan,atau sesuatu yang lain. Pokok pembicaraan,topik,pokok   topik,subjek dalam pembicaraan,pokok,atau sesuatu yang lain.,atau sesuatu yang lain. Pokok pembicaraan. topik
flu	flu,influenza, influenza
laid	tenang,diletakkan
keynot	keynot
rendón	rendón
vincent	vincent
symbolic	simbolis
تعايرنى	تعايرنى
light	,muda,menyalakan,terang,ringan,cahaya,lampu
assad	assad
cm	cm
enjoying	,menikmati
project's	proyek
postings	posting
theirs	mereka
especi	 terutama,terutama,begitu,khususnya,.
illustrations	 ilustrasi,gambar,ilustrasi
spurious	palsu
quickli	quickli
thoroughli	thoroughli
undemocrat	undemocrat
cultivate	membudidaya,menumbuhkan
imposs	mustahil,tidak mungkin,da, tidak mungkin
boost	meningkatkan
rate	,suku,tarip,kurs,angka,upah, suku, upah,kecepatan,tingkat
crime	kejahatan
feelings	merasa,perasaan
assail	menyerang
admire	mengagumi
internet	internet
century	century,abad
between	di antara,antara
rescue	pertolongan,menolong,menyelamatkan,penyelamatan, penyelamatan
council's	dewan
application	permintaan,aplikasi,lamaran
austin-bas	austin-bas
finance	keuangan
aldo	aldo
charl	charl
2hope	2hope
battling	berjuang,pertempuran,peperangan, pertempuran
tons	 radang tonsil,radang amandel,radang tonsil,ton
situations	keadaan,situasi, situasi
bag	kopor,tas
unpredictable	tak terduga
uruguayans	uruguay
mark	mark, nilai,menilai,tanda,angka,bekas,nilai
visit's	kunjungan
pentacl	pentacl
prophetic	kenabian
wishful	angan
melodi	 melodi,lagu,melodi
ibadite	ibadite
slower	lambat
ruler's	penguasa
2008	Dua ribu delapan
dealings	transaksi,berurusan
shout	teriakan,berteriak
keynote	keynote
inciner	inciner
myweku.com	myweku.com
exercis	k,latihan
divert	mengalihkan
fiji'	fiji'
4,500	Empat ribu lima ratus
clearli	clearli
hmm	hmm
whether	apa,apakah
budg	angg
transplant	transplantasi
nowaday	saat ini
bomb	mengebom,bom
carsozy's	carsozy ini
commonplac	commonplac
dog	anjing
constabulari	constabulari
flared	berkobar
fda	fda
hrd	hrd
overwhelm	membanjiri,meliputi
suppress	menekan
stories	lantai, tingkat,cerita,tingkat
gaza	gaza
setback	kemunduran
disastrous	yang membawa malapetaka,bencana
festiv	perayaan, perayaan,festival,pesta,tapi be, pesta
print	cetakan,foto,potret,huruf, cetakan,cetak
hacker	pembobol,peretas,hacker
uci	uci
matzah	matzah
carnage	pembantaian
beside	 di sebelah,di samping,di sebelah
daughter-in-law	putri-di-hukum,menantu
tampons	tampon
exclus	ku
neocolonial	neokolonial
cyvee	cyvee
atanu	atanu
rooted	operasi akar,berakar,akar
resourceful	akal
huge	besar,raksasa, sangat besar,sangat besar, raksasa,dahsyat
females	betina, wanita,wanita,perempuan
mets	mets
crossed	,jengkel,marah,melintasi,menyeberang,Jengkel,kayu salib,bersilang,Marah,palang,Kesal
ymca	ymca
deni	 denim,denim,deni,bahan jin
donat	donat
cold	dingin,pilek
cursory	sepintas
transaction	transaksi
geometr	p
websit	situs,situs jejaring,Situs jejaring,websit,situs web
وقاعدين	وقاعدين
stabil	stabil
committe	komite, panitia,panitia
congoles	congoles
relegated	diturunkan
@sepiamutini	@sepiamutini
depress	menekan,sedih,muram, muram, sedih,depresi
needy	membutuhkan
round	,babak,giliran,serentetan,bulat,mengelilingi,ronde,sekitar,keliling,bundar
highlight	sorot,Sorot
gomaa	gomaa
المثل	المثل
transferred	mengirimkan,ditransfer,memindahkan,menyerahkan, mengirimkan, menyerahkan
impun	impun
acting	babak,memainkan,bertindak,perbuatan
supportive	mendukung
burri	burri
traditionally	secara tradisional
woman's	wanita
diesel.elcat.kg	diesel.elcat.kg
un-sponsor	un-sponsor
kubatana.net	kubatana.net
palestine	palestina
barring	batang,pembatasan,melarang,menghalangi,bar
wreckage	puing-puing,reruntuhan
nutshel	nutshel
corpul	corpul
7777777	Tujuh juta tujuh ratus tujuh puluh tujuh ribu tujuh ratus tujuh puluh tujuh
ravalomanana'	ravalomanana'
sourceforg	sourceforg
bandwidth	bandwidth
fountain	air mancur
parry	parry
understandably	maklum
must	mesti,pasti,harus, mesti,tentu
multi-ethn	multi-ethn
dispossess	mengusir
akon'	akon'
opportunity	kesempatan
pedagogue	pendidik
analyses	analisis, menganalisis,menganalisis,menganalisa
scarred	bekas luka
contrary	sebaliknya,kebalikan
semblanc	semblanc,kemiripan
hatred	kebencian,rasa benci, rasa benci
indulg	indulg
mango	mangga
constructive	konstruktif
operating	pendapatan usaha,operasi
retire	pensiun
rusty	berkarat
nin's	nin's
badli	badli
aid	bantuan,pertolongan,, pertolongan,membantu
langauge	langauge
immateri	immateri,tidak penting
whore	pelacur
volunteered	sukarela,sukarelawati,sukarelawan
fluffi	fluffi
isle	isle
affect	mempengaruhi
flavor	,aroma,membumbui,rasa, rasa,selera, selera
carelpedr	carelpedr
eagl	eagl
grenades	granat
zu'bi	zubi
citizen'	warga'
الآخرين	الآخرين
injur	ya,melukai
hardship	kesulitan
reproduc	reproduksi
ii	ii
judici	judici
ndebel	ndebel
perfectly	sempurna
fatma	fatma
til	til,mujair
interconnected	berhubungan
em	tanggul,em, tanggul,tambak
corporal	kopral
rehnfeldt	rehnfeldt
decree	keputusan
confined	terbatas
jury-rig	juri-rig
afoot	terjadi
infidel	kafir
charmaine	charmaine
http://www.flickr.com/photos/chinogypsie/	http://www.flickr.com/photos/chinogypsie/
罗永浩	罗永浩
يارب	يارب
personally	sendiri,pribadi, sendiri,secara pribadi
parri	parri
centuri	abad,centuri
grease	grease
ahram's	ahram ini
huacarpay	huacarpay
tongues	lidah
charity	 derma,derma,amal
mayb	mungkin,mayb, boleh jadi, mungkin,barangkali,boleh jadi
wreck	,rongsokan,kecelakaan,menghancurkan,merusak,puing-puing, rongsokan
reinaldo	reinaldo
partners	Kemitraan,mitra
class	golongan,kelas,pelajaran
nationwide	nasional
belle	,belle, genta,bel, lonceng,lonceng,genta
announced	 mengumumkan,mengumumkan,diumumkan,memberitahukan
five	lima
kagame	kagame
product's	produk
flocked	kawanan, gerombolan,berbondong-bondong,gerombolan
poised	sikap tenang,siap
tunisian	tunisia
attending	menghadiri,hadir
verma	verma
exuber	exuber
lijiang	lijiang
hafiz	hafiz
yelet	yelet
besson	besson
incest	incest
nachal	nachal
antónio	antónio
debates	perdebatan,memperdebatkan
technolog	teknologi,technolog
b50	b50
annulment	pembatalan
provident	provident
cheroke	cheroke
earlier	tadi,sebelumnya,lebih awal
reviewer	resensi
rift	keretakan
muzaffarnagar	muzaffarnagar
cos	 kosmetik,bahan kecantikan,kosmetik,cos
males	laki-laki
investment	penanaman,investasi, penanaman modal,penanaman modal
issu	nomor,memberikan,mengeluarkan,issu,persoalan,terbitan,membagikan, persoalan,isu
guerrilla	gerilya
2nd	Kedua
misfortun	misfortun
gender-bas	jenis kelamin-bas
pois	poi,sikap tenang
security	keamanan
wished	 keinginan,kehendak,hasrat,berharap, kehendak,ucapan selamat,mengucapkan,menginginkan,pujian,keinginan
boiled	singkong rebus,rebus
enchanting	mempesona
w	w,kue wafel
alarabiya.net	alarabiya.net
judiciary	peradilan
tremor	tremor
list	daftar
yesheyp	yesheyp
exclud	dikec,meniadakan
http://breakingborders.net	http://breakingborders.net
transgress	melanggar
preferred	pilihan,saham preferen
chamoun	chamoun
garden's	taman ini
beechworth	beechworth
hainan	hainan
formal	resmi, resmi,formal
directories	petunjuk,direktori
vietnamese	vietnam
mind	,hati-hati,keberatan,pikiran,awas,menjaga
hasn't	belum
us1	us1
kopgli	kopgli
santos	santos
quarantined	karantina,dikarantina
photo.kg	foto.kg
else	,lain
registration	nomor registrasi,pendaftaran
mek	mek
painted	mengecat,dicat,cat
cleric	ulama
cyberlaw	cyberlaw
mbe	mbe
communist	komunis
daniel	daniel
anti-revolutionari	anti-revolutionari
traditional	tradisional
province	propinsi,provinsi
openly	secara terbuka
whom	yang,siapa
accid	kecelakaan,kebetulan,secara tidak sengaja,accid
administered	mengelola,diberikan
lucki	untung,lucki
kevin	kevin
guerri	tempat guerri
machan	machan
crashed	suara,bertubrukan,tabrakan,tubrukan, tubrukan,jatuh,bertabrakan
lets	,memungkinkan,menyewakan,mari,sebaiknya,membiarkan,dikontrakkan
weekday	hari kerja
unhappy	tidak bahagia, tidak senang,bahagia,tidak senang
poster	plakat,poster
kana	kana
candidaci	candidaci
christians	 Nasrani,Nasrani,Kristen,orang-orang kristen
improves	meningkatkan
relianc	relianc
import	Impor,impor; masuk,impor
wipe	mengelap, membersihkan,menghapus,bersihkan, menghapus, menyeka,membersihkan,menyeka
tweeps	tweeps
coincidence	kebetulan,kejadian yang kebetulan
mumbaivotes.com	mumbaivotes.com
used	digunakan,biasa,sudah biasa,dulu,dahulu,terbiasa, terbiasa
gravit	gravit
sadafat	sadafat
climat	iklim,climat
thai-style	thai-style
enrol	 mengikuti,mendaftarkan,mendaftar,mengikuti
jet	pesawat jet,jet
viable	giat,layak
66	Enam puluh enam
knowings	knowings
guides	panduan
live-tweeting	live-tweeting
suitabl	 pantas,terat,pantas,cocok
colombo	colombo
congest	kemacetan,spun
fifth	yang kelima, yang kelima,lima,kelima
tender	empuk,tawaran,menawarkan,lembut,tender,penawaran, lembut
expressions	ekspresi,ungkapan,ucapan, ungkapan
kurve	kurve
circle	, lingkaran,lingkungan,lingkaran,Lingkaran,bulatan
bonjour	bonjour
chile'	chile'
bachelorette	lajang
kicked	,sepakan,menyepak,ditendang,menendang,tendangan
akhbar	akhbar
host	host,induk semang,inang
defence	pertahanan,pembelaan,penjagaan
freir	freir
expects	menyangka,kira,mengharapkan
imports	Impor,impor; masuk,impor
wishing	 keinginan,kehendak,hasrat,berharap, kehendak,ucapan selamat,mengucapkan,menginginkan,pujian,keinginan
talks	memperbincangkan,pembicaraan,mengobrol,berbicara, percakapan,percakapan,ceramah
allegedly	diduga
devic	 alat,,devic,Perangkat,alat
roots	operasi akar,akar
brutality	kebrutalan
jeff	jeff
garcia	garcia
advancing	kemajuan,memajukan,maju
zeinobia	zeinobia
4,300	Empat ribu tiga ratus
ministry	kementerian
12:25	12:25
funerals	pemakaman
surface	permukaan
card	kartu
portuguese	Portugal,bahasa Portugis,Portugis,portugis,orang Portugis
understood	dipahami,mengerti
taken	naik,membawa,makan waktu,memerlukan,memuat,memegang,menerima,mengantarkan,ujian,mengambil,memakai,diambil
siem	siem
smacking	memukul
heartwarm	heartwarm
winner	pemenang
ong	ong
described	dijelaskan, menggambarkan,menggambarkan,melukiskan
cadelo	cadelo
finished	,akhir,tamat,selesai,menyelesaikan, tamat
stereotype	kebudayaan,stereotip,kebiasaan
mourn	berkabung
participatory	partisipatif
simpl	biasa, sederhana,sederhana,simpl,mudah, mudah
uplift	mengangkat
israeli	Israel,israel,orang Israel
bypasses	jalan bypass,bypasses
mumabaivotes.com	mumabaivotes.com
prophet	nabi
plate	piring,lempeng
traction	traksi
thomas	thomas
horrif	horrif
sculptor	pematung
prosecutor's	kejaksaan
power	 tenaga,kekuasaan,daya,tenaga   tenaga listrik,power
criticis	criticis,kecaman
consum	 pemakai,konsumen,pemakai,.
animation	animasi
aback	terkejut
domestically	di dalam negeri
flashcard	flashcard
blogger.com	blogger.com
trouser	celana panjang,celana
maron	maron
attend	menghadiri,hadir
paris-based	berbasis di paris
fother-in-law	fother-in-hukum
helloooo	helloooo
uniforms	pakaian seragam,seragam,Pakaian seragam
apologize	minta maaf,meminta maaf
humiliation	dipermalukan
dsl	dsl
instituto	instituto
ola	ola
anthology	antologi
grams	gram
guanaguanar	guanaguanar
rocked	batu,karang,Music musik rok, karang,Music,bergoyang
begrudges	begrudges
profoundli	profoundli
minors	kurang penting, minor,kecil,anak di bawah umur, kurang penting,minor
ended	 bagian akhir,bagian akhir,akhir,mengakhiri,berakhir,tamat,terakhir,berhenti,menghentikan,ujung
symptomatic	gejala
cables	kabel, kawat,kawat,cabel
cuento	cuento
minus	minus,pengurangan,kurang
el-sheikh	el-sheikh
trick	cara,menipu,akal,memperdayakan, tipu muslihat,tipu muslihat,trik
lately	belakangan ini, belakangan ini,akhir-akhir ini
japanese-style	gaya jepang
heinou	heinou
hectares	hektar
needi	usah,membutuhkan, keperluan,memerlukan,kebutuhan,harus,perlu,needi,keperluan
stores	menyimpan,warung,save,toko, warung,gudang
izhaki	izhaki
vietnam'	vietnam'
ol	,tua,lama,umur,ol
representative	perwakilan,wakil
pressure	tekanan
guevara's	guevara
usher	usher
indiffer	indiffer,Acuh tak acuh
angolans	angolans
يلغى	يلغى
lenses	lensa
we'll	kami akan
realised	menyadari,insyaf akan, menyadari
apartments	apartemen
educ	 mendidik,mendidik,melatih,educ
obituaries	obituari
classified	classified
grandfather	kakek
licensebiogas	licensebiogas
patronag	patronag
phony	palsu
snakes	ular
أفلام	أفلام
heating	pemanasan,penghangat ruangan
zhusuev	zhusuev
spokespeopl	spokespeopl
prevent	mencegah
sultanmuzaffar	sultanmuzaffar
movement	gerakan, pergerakan,pergerakan
safma	safma
somalia	somalia
fascinating	sangat menarik,menarik,mempesona,Menarik, sangat menarik
wacko	gila
increas	pertambahan,semakin,menambah,kenaikan,menaikkan,bertambah,meningkat,Naik, pertambahan
culturally	budaya
exploiting	pemanfaatan
al-qaeda	al-qaeda
minist	domine,pendeta,menteri,minist
less	lebih sedikit,,kurang
boatpeopl	boatpeopl
al	alat tanda bahaya,al,ketakutan,sirene
beenish	beenish
nigeria	nigeria
palestine-israel	palestina-israel
plantations	perkebunan
colored	berwarna,Pensil warna
johnackec	johnackec
minimize	meminimalkan
gandhi	gandhi
immense	besar
melissa	melissa
skinny	kurus
consisting	terdiri
acquit	membebaskan
10th	Kesepuluh
excited	bergairah,,bersemangat
khan'	khan'
vaccin	vaccin,menyuntik vaksinasi
mar	mar,maraton
significantly	secara signifikan
strategi	taktik, taktik,strategi
maryam	maryam
invasion	invasi
profile	profil
cyclon	cyclon
re-emerges	kembali muncul
skeptic	skeptis
financially	secara finansial
wife's	istri
rukh'	rukh'
acrobat	acrobat,akrobat
hacking	meretas,hacking,retas
beirut	beirut
effected	akibat,efek,dilakukan
piper	piper
lese	lese
pornography	pornografi
jen	jen
42,000	Empat puluh dua ribu
continued	 meneruskan,melanjutkan,meneruskan,terus
interestingly	menariknya
bridging	anjungan,jembatan,bridge,menjembatani
morales	morales
looters	para penjarah
constantly	terus-menerus
sweeps	menyapu
repositions	repositions
permanently	secara permanen,secara tetap
pressing	,menekan,mencetak,tekanan
harmful	berbahaya
contemplates	merenungkan, merenung,merenung
teaming	 tim,tim,bekerja sama,regu
stanc	stanc
rubyworthi	rubyworthi
talasmost.kg	talasmost.kg
alert	waspada
تحفظهم	تحفظهم
ramdurai	ramdurai
penniless	tanpa uang sepeser pun
lenicio	lenicio
exploit	exploit
1966	Satu ribu sembilan ratus enam puluh enam
liberia'	liberia'
kurv	kurv
asmolov	asmolov
sampling	contoh,sampling, sampel,sampel
kuzu	kuzu
us-bas	kita-bas
truly	benar-benar
5759	Lima ribu tujuh ratus lima puluh sembilan
polls	jajak pendapat
nevermind	nevermind
listing	daftar
mic	mikrocip,mic
tobago's	tobago
finalist	finalis
deteriorating	memburuk
jeunesse	jeunesse
stormed	 badai,badai,menyerbu,angin topan
liberté	liberté
showed	,pameran,menunjukkan,memperlihatkan,tontonan,acara
he	 dia, ia,dia,ia,beliau
arebeing	arebeing
yasmina	yasmina
monarchi	monarchi,kerajaan,monarki, monarki
barangay	barangay
unprotect	unprotect
arguably	bisa dibilang
baghdad	baghdad
highest	,tinggi,mahal,nyaring,tertinggi
forbad	melarang
indebtedness	hutang
section	bagian,seksi, seksi
mountains	gunung,pegunungan
sukkot	sukkot
performances	kinerja,pagelaran,sandiwara,pertunjukan
70	Tujuh puluh
neglect	mengabaikan,menterlantarkan
weakened	melemah
restoring	mengembalikan seperti semula, mengembalikan seperti semula,memulihkan
pssi	pssi
doubli	,dua kali,dua,ganda,doubli,dobel, dua
panos	panos
switch	kenop,tombol, tombol,,beralih
chaviva	chaviva
entierro	entierro
comput	komputer
guinness	guinness
venice	venesia
marijuana	ganja
laud	laud
forth	sebagainya
janvier	janvier
voter'	pemilih'
depressedy	depressedy
dictat	 pendiktean,kediktatoran,dikte,pendiktean
generis	generis
mediahacker	mediahacker
ten-year	sepuluh tahun
staff	 staf,staf,para pegawai
mental	mental,,batin dan watak
i'd	aku
understands	memahami
ranting	mengomel
chop	potongan daging,mencincang,membelah,memotong,chop
narrat	narrat
litters	sampah,tandu
carnival-lik	karnaval-lik
volumes	kekuatan suara,isi,bunyi,volume, bunyi
voids	kehampaan,void
debunk	menghilangkan prasangka
retirement	pensiun, pengunduran diri,pengunduran diri
narr	narr,sempit
swing	Berayun,berayun,mengayunkan,ayunan
dilig	dilig,rajin
